id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,minted_market_cap,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
3957,UNUS SED LEO,LEO,unus-sed-leo,67,2019-05-21T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'discount-token', 'payments', 'ethereum-ecosystem', 'kenetic-capital-portfolio', 'alameda-research-portfolio']",,921362886.9,985239504.0,False,8412187633.83,,13,,,,2026-02-14T11:41:00.000Z,8.538215935996176,497560.41264827,-88.49,-0.0187957,3.18551556,12.00854135,-4.04697915,-7.6759524,-6.791208,7866795283.765022,0.3279,8412187633.83,,2026-02-14T11:41:00.000Z,1027.0,Ethereum,ETH,ethereum,0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3,2026-02-14 12:41:19.975677
328,Monero,XMR,monero,361,2014-05-21T00:00:00.000Z,"['mineable', 'pow', 'medium-of-exchange', 'privacy', 'ringct', 'boostvc-portfolio', 'electric-capital-portfolio', 'galaxy-digital-portfolio', 'layer-1', '2017-2018-alt-season', 'binance-ecosystem', 'binance-listing', 'privacy-coins']",,18446744.07370955,18446744.07370955,True,6551035972.08,,14,,,,2026-02-14T11:39:00.000Z,355.1323716482439,84903866.17434913,17.6373,0.1977103,4.17169188,7.28904796,-50.02111889,-14.97655645,-17.26339865,6551035972.0846615,273,6551035972.08,,2026-02-14T11:39:00.000Z,,,,,,2026-02-14 12:41:19.975677
1975,Chainlink,LINK,chainlink,2212,2017-09-20T00:00:00.000Z,"['platform', 'cosmos-ecosystem', 'defi', 'privacy', 'interoperability', 'iot', 'oracles', 'smart-contracts', 'ethereum-ecosystem', 'tron-ecosystem', 'polkadot', 'tokenized-stock', 'polkadot-ecosystem', 'heco-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'terra-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosystem', 'celo-ecosystem', 'defi-2', 'cross-chain', 'cronos-ecosystem', 'cardano', 'injective-ecosystem', 'bnb-chain-ecosystem', 'oasis-ecosystem', 'moonbeam-ecosystem', 'xdc-ecosystem', 'metisdao-ecosystem', 'velas-ecosystem', 'doge-chain-ecosystem', 'aptos-ecosystem', 'sui-ecosystem', 'optimism-ecosystem', 'bitcoin-ecosystem', 'real-world-assets-protocols', 'zksync-era-ecosystem', 'kadena-ecosystem', 'base-ecosystem', 'linea-ecosystem', 'sei-ecosystem', 'toncoin-ecosystem', 'paal-ecosystem', 'blast-ecosystem', 'atomicals-ecosystem', 'move-vm', 'eigenlayer-ecosystem', 'hyperliquid-ecosystem', 'gnosis-chain-ecosystem', 'ronin-ecosystem', 'astar-ecosystem', 'core-ecosystem', 'starknet-ecosystem', 'mantle-ecosystem', 'opbnb-ecosystem', 'scroll-ecosystem', 'merlin-ecosystem', 'b²-network-ecosystem', 'mode-ecosystem', 'world-chain-mainnet-ecosystem', 'made-in-america', 'btcfi', 'world-liberty-financial-portfolio', 'corn-ecosystem', 'bonk-fun-ecosystem', 'sonic-ecosystem', 'binance-ecosystem', 'binance-listing', 'bittensor-ecosystem', 'tokenized-assets', 'xstocks-ecosystem', 'hyperevm-ecosystem', 'etherlink-ecosystem', 'bera-chain-ecosystem', 'abstract-chain-ecosystem', 'unichain-ecosystem', 'soneium-ecosystem', 'fraxtal-ecosystem', 'monad-ecosystem', 'hashkey-chain-ecosystem', 'wlfi-ecosystem', 'plasma-ecosystem', 'x402-ecosystem', 'iso-20022']",1000000000.0,708099970.4525867,1000000000.0,False,9008567237.84,,15,,,,2026-02-14T11:41:00.000Z,9.008567237842197,642242375.5374105,-4.4215,0.87200293,7.18121965,4.30734069,-35.50436394,-30.32088255,-36.11262739,6378966194.9362,0.2659,9008567237.84,,2026-02-14T11:41:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2026-02-14 12:41:19.975677
29470,Ethena USDe,USDe,ethena-usde,295,2024-02-20T11:05:01.000Z,"['stablecoin', 'asset-backed-stablecoin', 'binance-labs-portfolio', 'dragonfly-capital-portfolio', 'usd-stablecoin', 'eigenlayer-ecosystem', 'binance-ecosystem', 'binance-listing', 'xlayer-ecosystem', 'plasma-ecosystem']",,6318619585.584829,6318619585.584829,True,6311613911.92,,16,,,,2026-02-14T11:39:00.000Z,0.9988912651609386,80880120.15017499,-17.3278,0.006151,0.01591958,0.02395991,-0.0714194,-0.02937536,0.04096919,6311613911.915516,0.2631,6311613911.92,,2026-02-14T11:39:00.000Z,1027.0,Ethereum,ETH,ethereum,0x4c9edd5852cd905f086c759e8383e09bff1e68b3,2026-02-14 12:41:19.975677
37263,Canton,CC,canton-network,70,2025-07-08T04:07:45.000Z,"['proof-of-authority', 'store-of-value', 'enterprise-solutions', 'privacy', 'interoperability', 'scaling', 'smart-contracts', 'layer-1', 'binance-ecosystem', 'binance-listing', 'privacy-blockchain']",,37751015829.25541,37751015829.25541,True,6158556975.02,,17,37751015829.26,6158556975.02102,,2026-02-14T11:39:00.000Z,0.1631361922252607,17234679.03083878,8.4294,0.10672282,3.28645066,-4.6242733,23.1950646,121.20908478,49.00762486,6158556975.02027,0.2567,6158556975.02,,2026-02-14T11:39:00.000Z,,,,,,2026-02-14 12:41:19.975677
512,Stellar,XLM,stellar,805,2014-08-05T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'decentralized-exchange-dex-token', 'defi', 'smart-contracts', 'hashkey-capital-portfolio', 'real-world-assets-protocols', '2017-2018-alt-season', 'made-in-america', 'binance-ecosystem', 'binance-listing', 'iso-20022']",50001806812.0,32842849970.598038,50001786883.65895,False,8521545800.15,,18,31531408660.0,5373734816.007825,,2026-02-14T11:40:00.000Z,0.17042482541621484,136132493.165413,20.0999,0.28975844,8.33919873,8.54067754,-26.32419692,-23.49213959,-33.74655224,5597236972.410108,0.2333,8521549196.43,,2026-02-14T11:40:00.000Z,,,,,,2026-02-14 12:41:19.975677
4943,Dai,DAI,multi-collateral-dai,3681,2019-11-22T00:00:00.000Z,"['defi', 'stablecoin', 'asset-backed-stablecoin', 'usd-stablecoin', 'binance-ecosystem', 'binance-listing', 'xlayer-ecosystem']",,5365382702.664872,5365382702.664872,True,5365264386.42,,19,,,,2026-02-14T11:41:00.000Z,0.9999779482192046,148127809.0551348,-4.2769,0.00260456,0.00143298,0.02436419,0.03609001,0.00654976,0.0234117,5365264386.42163,0.2236,5365264386.42,,2026-02-14T11:41:00.000Z,1027.0,Ethereum,ETH,ethereum,0x6b175474e89094c44da98b954eedeac495271d0f,2026-02-14 12:41:19.975677
36148,World Liberty Financial USD,USD1,usd1,898,2025-04-13T05:37:56.000Z,"['stablecoin', 'usd-stablecoin', 'tron20-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing', 'wlfi-ecosystem']",,5283506894.53634,5283506894.53634,False,5280317287.21,,20,,,,2026-02-14T11:40:00.000Z,0.9993963086651689,1363002053.1401095,-13.6713,0.00041411,0.03557296,-0.07981817,0.04256069,0.00472367,0.0283918,5280317287.206588,0.2201,5280317287.21,,2026-02-14T11:40:00.000Z,1027.0,Ethereum,ETH,ethereum,0x8d0D000Ee44948FC98c9B98A4FA4921476f08B0d,2026-02-14 12:41:19.975677
1437,Zcash,ZEC,zcash,576,2016-10-29T00:00:00.000Z,"['mineable', 'pow', 'equihash', 'medium-of-exchange', 'privacy', 'zero-knowledge-proofs', 'quantum-resistant', 'binance-chain', 'boostvc-portfolio', 'dcg-portfolio', 'electric-capital-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'winklevoss-capital-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'layer-1', 'standard-crypto-portfolio', '2017-2018-alt-season', 'made-in-america', 'binance-ecosystem', 'binance-listing', 'privacy-coins']",21000000.0,16534549.7905448,16534383.4155448,False,4665068074.38,,21,,,,2026-02-14T11:40:00.000Z,282.1434556790187,530989298.3916759,98.2999,0.10158077,21.69796174,24.14250798,-35.67367737,-28.46982693,-59.4927483,4665115016.001105,0.1944,5925012569.26,,2026-02-14T11:40:00.000Z,,,,,,2026-02-14 12:41:19.975677
4642,Hedera,HBAR,hedera,418,2019-09-17T00:00:00.000Z,"['dag', 'marketplace', 'enterprise-solutions', 'payments', 'dcg-portfolio', 'hedera-hashgraph-ecosystem', 'real-world-assets-protocols', 'layer-1', 'made-in-america', 'binance-ecosystem', 'binance-listing', 'iso-20022']",50000000000.0,43003138665.62324,50000000000.0,False,5143482413.23,,22,,,,2026-02-14T11:40:00.000Z,0.10286964826460963,215102097.5610338,75.8087,0.36529594,10.34915417,18.32038302,-14.84063133,-11.04185273,-32.10151086,4423717748.806897,0.1844,5143482413.23,,2026-02-14T11:40:00.000Z,,,,,,2026-02-14 12:41:19.975677
2,Litecoin,LTC,litecoin,1505,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'privacy', 'layer-1', '2017-2018-alt-season', 'made-in-america', 'binance-ecosystem', 'binance-listing']",84000000.0,76848276.98347135,84000000.0,False,4677822767.99,,23,,,,2026-02-14T11:40:00.000Z,55.68836628563234,335699591.5676778,10.9184,0.51963627,4.54942481,4.7041541,-26.25667633,-29.29737528,-44.60110891,4279554997.0752816,0.1783,4677822767.99,,2026-02-14T11:40:00.000Z,,,,,,2026-02-14 12:41:19.975677
27772,PayPal USD,PYUSD,paypal-usd,152,2023-08-21T14:30:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'stellar-ecosystem', 'usd-stablecoin', 'fiat-stablecoin']",,4029457472.036457,4029457472.036457,False,4028771537.46,,24,,,,2026-02-14T11:41:00.000Z,0.999829769992489,251899568.6895831,-2.1312,0.00676604,0.0012765,0.01798038,0.0109785,0.03102387,0.00944818,4028771537.4607267,0.1679,4028771537.46,,2026-02-14T11:41:00.000Z,1027.0,Ethereum,ETH,ethereum,0x6c3ea9036406852006290770bedfcaba0e23a0e8,2026-02-14 12:41:19.975677
5805,Avalanche,AVAX,avalanche,1057,2020-07-13T00:00:00.000Z,"['smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'real-world-assets-protocols', 'layer-1', 'made-in-america', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing']",715748719.0,431771961.1772119,463441061.1772119,False,4323423563.2,,25,,,,2026-02-14T11:40:00.000Z,9.328960951843527,214392169.31647348,-15.6375,1.03522714,5.30973722,4.15821755,-34.8667241,-24.41658555,-39.71058392,4027983765.923109,0.1679,6677191850.88,,2026-02-14T11:40:00.000Z,,,,,,2026-02-14 12:41:19.975677
20947,Sui,SUI,sui,898,2022-07-12T08:03:11.000Z,"['binance-launchpool', 'coinbase-ventures-portfolio', 'binance-labs-portfolio', 'electric-capital-portfolio', 'a16z-portfolio', 'sui-ecosystem', 'layer-1', 'move-vm', 'cmc-crypto-yearbook-2024-2025', 'made-in-america', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing']",10000000000.0,3846172527.4296656,10000000000.0,False,9998318847.59,,26,3846172527.43,3845525927.2084413,,2026-02-14T11:39:00.000Z,0.9998318847589527,577521487.5239625,9792,1.31766742,8.32026471,2.86596946,-45.66230891,-33.11181784,-41.9825422,3845525927.208107,0.1603,9998318847.59,,2026-02-14T11:39:00.000Z,,,,,,2026-02-14 12:41:19.975677
5994,Shiba Inu,SHIB,shiba-inu,1043,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel', 'bnb-chain-ecosystem', 'base-ecosystem', 'animal-memes', 'binance-ecosystem', 'binance-listing', 'etherlink-ecosystem']",589552695333683.0,589243878810313.1,589500416320104.5,False,3834797636.49,,27,589551575078137.0,3835130432.667487,,2026-02-14T11:40:00.000Z,6.505165272706112e-06,139784084.26548222,7.2391,1.24288964,6.68466584,7.71996972,-23.97358533,-18.33113346,-28.22576125,3833128817.591498,0.1598,3835137720.11,,2026-02-14T11:40:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2026-02-14 12:41:19.975677
11419,Toncoin,TON,toncoin,855,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem', 'cmc-crypto-yearbook-2024-2025', 'binance-ecosystem', 'binance-listing']",,2450184046.450077,5154107213.978265,True,7702576199.22,,28,,,,2026-02-14T11:39:00.000Z,1.4944540110318518,94600143.41710125,6.5806,0.86555505,5.59492641,10.27971136,-16.15752484,-2.20421458,-18.25374501,3661687375.9835706,0.1526,7702576199.22,,2026-02-14T11:39:00.000Z,,,,,,2026-02-14 12:41:19.975677
3635,Cronos,CRO,cronos,339,2018-12-14T00:00:00.000Z,"['medium-of-exchange', 'centralized-exchange', 'mobile', 'payments', 'layer-1']",100000000000.0,39861918808.77855,98395252762.70354,False,8102905761.66,,29,97393210558.0,8020387008.710364,,2026-02-14T11:40:00.000Z,0.08235057621325699,22075122.63986493,62.2066,0.95918758,7.56285347,6.23999789,-19.50857631,-13.63786068,-27.95140053,3282651982.8689804,0.1368,8235057621.33,,2026-02-14T11:40:00.000Z,,,,,,2026-02-14 12:41:19.975677
33251,World Liberty Financial,WLFI,world-liberty-financial-wlfi,420,2024-10-01T02:34:47.000Z,"['defi', 'ethereum-ecosystem', 'solana-ecosystem', 'bnb-chain-ecosystem', 'made-in-america', 'binance-ecosystem', 'binance-listing', 'wlfi-ecosystem']",100000000000.0,26743737086.0,100000000000.0,False,10563969340.2,,30,,,,2026-02-14T11:41:00.000Z,0.1056396934020227,125292724.56823483,-2.7175,1.62182988,2.65839741,5.7856802,-38.18804296,-20.7426527,-26.33205361,2825200186.189344,0.1177,10563969340.2,,2026-02-14T11:41:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdA5e1988097297dCdc1f90D4dFE7909e847CBeF6,2026-02-14 12:41:19.975677
5176,Tether Gold,XAUt,tether-gold,346,2020-02-07T00:00:00.000Z,"['ethereum-ecosystem', 'tokenized-gold', 'real-world-assets-protocols', 'tokenized-assets', 'tokenized-commodities']",,520825.641698,712747089,False,3561040319.35,,31,48450.0,242066794.98944294,0.72207967,2026-02-14T11:41:00.000Z,4996.218678832672,357338966.22357905,-51.4459,0.02527807,1.50342873,1.74010558,8.32387402,16.76606867,22.58782308,2602158799.46656,0.1085,3561040319.35,3603700411.0,2026-02-14T11:41:00.000Z,1027.0,Ethereum,ETH,ethereum,0x68749665FF8D2d112Fa859AA293F07A622782F38,2026-02-14 12:41:19.975677
4705,PAX Gold,PAXG,pax-gold,360,2019-09-26T00:00:00.000Z,"['ethereum-ecosystem', 'tokenized-gold', 'real-world-assets-protocols', 'binance-ecosystem', 'binance-listing', 'tokenized-assets', 'tokenized-commodities']",,459009975,459009975,True,2306052668.11,,32,,,,2026-02-14T11:40:00.000Z,5023.970705890656,181451662.8981611,-52.7386,0.00122571,1.46780836,1.53209338,8.6046131,17.11731089,22.61373303,2306052668.1116023,0.0961,2306052668.11,,2026-02-14T11:40:00.000Z,1027.0,Ethereum,ETH,ethereum,0x45804880de22913dafe09f4980848ece6ecbaf78,2026-02-14 12:41:19.975677
6636,Polkadot,DOT,polkadot-new,1025,2020-08-19T00:00:00.000Z,"['defi', 'ethereum-ecosystem', 'substrate', 'polkadot', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'heco-ecosystem', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'arbitrum-ecosystem', 'spartan-group', 'optimism-ecosystem', 'osmosis-ecosystem', 'base-ecosystem', 'gnosis-chain-ecosystem', 'binance-ecosystem', 'binance-listing']",2100000000.0,1665258551.083948,1665258551.083948,False,2279749307.43,,33,,,,2026-02-14T11:40:00.000Z,1.3690062158463774,101522493.64139964,3.8933,0.75541998,7.25109549,3.04791922,-37.72097978,-28.91384845,-51.66016041,2279749307.4252567,95,2874913053.28,,2026-02-14T11:40:00.000Z,,,,,,2026-02-14 12:41:19.975677
7083,Uniswap,UNI,uniswap,1405,2020-09-17T00:00:00.000Z,"['decentralized-exchange-dex-token', 'defi', 'dao', 'ethereum-ecosystem', 'yield-farming', 'amm', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'governance', 'heco-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'blockchain-capital-portfolio', 'defiance-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'parafi-capital', 'paradigm-portfolio', 'polygon-ecosystem', 'terra-ecosystem', 'near-protocol-ecosystem', 'arbitrum-ecosystem', 'cmc-crypto-awards-2024', 'gnosis-chain-ecosystem', 'sora-ecosystem', 'hoo-smart-chain-ecosystem', 'made-in-america', 'binance-ecosystem', 'binance-listing', 'etherlink-ecosystem', 'unichain-ecosystem']",,634189562.7465303,898824420.0366303,False,3145619114.67,,34,,,0.70623188,2026-02-14T11:41:00.000Z,3.4997036624134403,330718949.1618829,1.1224,0.98030911,5.41190438,1.42070691,-36.57376765,-32.08347805,-53.9929978,2219475535.4084105,0.0925,3145619114.67,3142700873.0,2026-02-14T11:41:00.000Z,1027.0,Ethereum,ETH,ethereum,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,2026-02-14 12:41:19.975677
27075,Mantle,MNT,mantle,219,2023-07-17T11:00:31.000Z,"['ethereum-ecosystem', 'layer-2', 'dwf-labs-portfolio', 'mantle-ecosystem', 'made-in-china', 'neobank']",6219316795.0,3252944055.6368403,6219316794.889999,False,4075536803.64,,35,3252944055.64,2131663920.0386403,,2026-02-14T11:40:00.000Z,0.6553029758820265,31012576.85385054,-9.9278,1.01642314,7.25065246,4.65235282,-32.43691551,-47.61620919,-45.6364363,2131663920.0365698,0.0888,4075536803.72,,2026-02-14T11:40:00.000Z,1027.0,Ethereum,ETH,ethereum,0x3c3a81e81dc49a522a592e7622a7e711c06bf354,2026-02-14 12:41:19.975677
